2022-11-14-20:41:12.772,1,6.70,16.86,18.27,6.17,23.57,17.28,11.11,16.56,13.01
2022-11-14-20:41:13.785,1,6.67,16.88,18.29,6.17,23.60,17.28,11.21,16.60,13.01
2022-11-14-20:41:14.798,1,6.72,16.88,18.27,6.17,23.51,17.29,11.32,16.62,13.17
2022-11-14-20:41:15.905,1,6.79,16.90,18.31,6.17,23.73,17.28,11.42,16.55,13.18
2022-11-14-20:41:16.950,1,6.60,16.61,18.04,6.09,23.65,17.28,11.47,16.55,13.22
2022-11-14-20:41:17.865,1,6.89,16.86,18.27,6.17,23.47,17.27,11.46,16.54,13.27
2022-11-14-20:41:18.853,1,6.92,16.90,18.24,6.21,23.54,17.28,11.50,16.56,13.14
2022-11-14-20:41:19.860,1,6.92,16.90,18.27,6.21,23.62,17.28,11.54,16.42,13.12
2022-11-14-20:41:20.874,1,6.94,16.90,18.31,6.26,23.54,17.32,11.58,16.51,13.18
2022-11-14-20:41:21.886,1,7.04,16.93,18.31,6.29,23.65,17.30,11.71,16.52,13.22
2022-11-14-20:41:22.899,1,7.06,16.93,18.31,6.29,23.58,17.29,11.70,16.58,13.13
2022-11-14-20:41:23.912,1,7.04,16.90,18.31,6.34,23.67,17.29,11.71,16.52,13.03
2022-11-14-20:41:24.928,1,7.16,16.95,18.33,6.41,23.55,17.31,11.67,16.57,13.21
2022-11-14-20:41:25.938,1,6.94,16.63,18.13,6.46,23.70,17.29,11.75,16.59,13.05
2022-11-14-20:41:26.959,1,7.25,16.95,18.33,6.46,23.56,17.29,11.69,16.52,13.13
2022-11-14-20:41:27.962,1,7.25,16.93,18.29,6.48,23.60,17.30,11.66,16.60,13.19
2022-11-14-20:41:28.992,1,7.30,16.90,18.29,6.53,23.55,17.31,11.74,16.57,13.18
2022-11-14-20:41:30.29,1,7.30,16.88,18.22,6.55,23.58,17.27,11.73,16.54,13.17
2022-11-14-20:41:30.998,1,7.32,16.90,18.22,6.55,23.55,17.29,11.65,16.59,13.16
2022-11-14-20:41:32.11,1,7.37,16.88,18.17,6.60,23.62,17.28,11.79,16.45,13.08
2022-11-14-20:41:33.25,1,7.42,16.88,18.20,6.65,23.48,17.28,11.78,16.46,13.15
2022-11-14-20:41:34.38,1,7.42,16.86,18.29,6.67,23.49,17.28,11.87,16.62,13.16
2022-11-14-20:41:35.51,1,7.25,16.59,18.06,6.51,23.77,17.33,11.91,16.63,13.09
